name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,124,80237517,,,,,,,-96.7567401,43.4942237,,,
,125,80237525,,,,,,,-96.7574773,43.4942892,,,
,126,80239039,,,,,,,-96.7019106,43.494354,,,
,127,80239044,,,,,,,-96.7005227,43.4943457,,,
,128,80239047,,,,,,,-96.698292,43.494339,,,
,129,80239323,,,,,,,-96.7224205,43.4889206,,,
,130,80230776,,,,,,,-96.7235344,43.4889214,,,
,131,80262910,,,,,,,-96.7237286,43.4889231,,,
,132,80240030,,,,,,,-96.7772054,43.4785454,,,
,133,1351702288,,,,,,,-96.7753357,43.4785421,,,
,134,80240032,,,,,,,-96.7741978,43.4785337,,,
,135,80240043,,,,,,,-96.7724528,43.4783784,,,
,136,80240047,,,,,,,-96.7714067,43.4780684,,,
,137,80293882,,,,,,,-96.7710845,43.485615,,,
,138,80304181,,,,,,,-96.7710865,43.4826332,,,
,139,80240164,,,,,,,-96.7710756,43.4788309,,,
,140,80240157,,,,,,,-96.7711625,43.4785034,,,
,141,80240464,turning_circle,,,,,,-96.7611588,43.4789312,,,
,142,80240485,motorway_junction,,,,,,-96.7775785,43.4936768,,,
,143,2445411741,,,,,,,-96.7702666,43.4928965,,,
,144,1351702195,,,,,,,-96.7537305,43.4757452,,,
,145,1351702269,,,,,,,-96.7546141,43.4772059,,,
,146,80232730,,,,,,,-96.7565471,43.4780452,,,
,147,80240611,,,,,,,-96.764263,43.4783012,,,
,148,80240691,turning_circle,,,,,,-96.7645062,43.4780982,,,
,149,80241323,,,,,,,-96.7368828,43.4846349,,,
,150,80237143,,,,,,,-96.7368805,43.4873061,,,
,151,80241342,turning_circle,,,,,,-96.7368049,43.4889692,,,
,152,80241402,turning_circle,,,,,,-96.7438008,43.4872821,,,
,153,80233644,,,,,,,-96.7439056,43.4859989,,,
,154,80241887,,,,,,,-96.7113024,43.4888893,,,
,155,80241889,,,,,,,-96.7127331,43.4889079,,,
,156,1903048711,,,,,,,-96.7140227,43.4889169,,,
,157,1903050276,,,,,,,-96.7151192,43.4889137,,,
,158,1903044299,,,,,,,-96.7161439,43.4889223,,,
,159,1903044300,,,,,,,-96.7171632,43.4889145,,,
,160,80245660,,,,,,,-96.7382352,43.5003422,,,
,161,80245672,turning_circle,,,,,,-96.7379387,43.4995428,,,
,162,80245745,,,,,,,-96.7475252,43.4953105,,,
,163,80221740,,,,,,,-96.7487945,43.495336,,,
,164,80246131,,,,,,,-96.7111401,43.4972369,,,
,165,80214774,,,,,,,-96.7111474,43.4964019,,,
,166,80214778,,,,,,,-96.7111553,43.4956214,,,
,167,80214780,,,,,,,-96.7111606,43.4948582,,,
,168,80285440,,,,,,,-96.6999999,43.4972565,,,
,169,80246492,,,,,,,-96.7068781,43.4940125,,,
,170,2459137346,turning_circle,,,,,,-96.7069119,43.4932617,,,
,171,80247271,,,,,,,-96.8085784,43.498778,,,
,172,80803019,,,,,,,-96.808039,43.500312,,,
,173,80247374,,,,,,,-96.80861,43.4973009,,,
,174,80247378,,,,,,,-96.8086122,43.4969846,,,
,175,80287993,,,,,,,-96.8085387,43.4960678,,,
,176,80287792,,,,,,,-96.8085357,43.4954907,,,
,177,80310058,,,,,,,-96.8085665,43.4932879,,,
,178,80247699,,,,,,,-96.7907936,43.4957493,,,
,179,80247715,,,,,,,-96.800954,43.4924239,,,
,180,80247737,,,,,,,-96.800046,43.4904119,,,
,181,80247756,,,,,,,-96.799085,43.4913287,,,
,182,80247758,,,,,,,-96.7990695,43.4920228,,,
,183,80247766,,,,,,,-96.7991181,43.4924257,,,
,184,80304908,,,,,,,-96.8062717,43.4924463,,,
,185,80248395,,,,,,,-96.8096644,43.4924505,,,
