name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes,geometry,out_degree,in_degree,degree
,3707,80737881,,,,,,,-96.7893679,43.5075949,,,,POINT(-96.7893679 43.5075949),4.0,4.0,8.0
,3708,80737891,,,,,,,-96.78836,43.506224,,,,POINT(-96.78836 43.506224),3.0,3.0,6.0
,3709,80655025,,,,,,,-96.821991,43.527046,,,,POINT(-96.821991 43.527046),3.0,3.0,6.0
,3710,80737907,,,,,,,-96.825197,43.526964,,,,POINT(-96.825197 43.526964),3.0,3.0,6.0
,3711,80737917,,,,,,,-96.802516,43.55359,,,,POINT(-96.802516 43.55359),3.0,3.0,6.0
,3712,80737924,,,,,,,-96.698137,43.51416,,,,POINT(-96.698137 43.51416),3.0,3.0,6.0
,3713,80737930,,,,,,,-96.698036,43.514944,,,,POINT(-96.698036 43.514944),3.0,3.0,6.0
,3714,8620629976,,,,,,,-96.7953305,43.5546055,,,,POINT(-96.7953305 43.5546055),1.0,1.0,2.0
,3715,80737967,,,,,,,-96.79531,43.554279,,,,POINT(-96.79531 43.554279),3.0,3.0,6.0
,3716,80737969,,,,,,,-96.795313,43.553555,,,,POINT(-96.795313 43.553555),3.0,3.0,6.0
,3717,80737971,,,,,,,-96.79554,43.552913,,,,POINT(-96.79554 43.552913),3.0,3.0,6.0
